BORDERLANDS 4 — ACTOR NAME CATALOG
Actor file (gbxactor code) ↔ in-game display name
Generated: 2026-07-30T20:11:26.302Z
Source: references/bl4_toolbox_export/ncs/json
Total actors: 1376

Format:
  Char_* code                                   In-game name  (notes)

==============================================================================
DEDICATED DROP BOSSES (92)
Named bosses with dedicated ItemPoolList loot (Table_DedicatedDrops).
==============================================================================

  Char_Cat_Mine_Boss_CityCat                    Axemaul  (row City_Cat · ItemPoolList_CityCat)
  Char_Pangolin_Drill_Boss_Bango                Bango  (row Bango · ItemPoolList_Bango)
  Char_PrisonBuddyBoss_RunnableTRUE             Big Encore Arjay  (row Arjay_TrueBoss · ItemPoolList_Arjay_TrueBoss · True Boss)
  Char_Cat_Mine_Boss_CityCat_TRUE               Big Encore Axemaul  (row City_Cat_TrueBoss · ItemPoolList_CityCat_TrueBoss · True Boss)
  Char_Pangolin_Drill_Boss_BangoTRUE            Big Encore Bango  (row Bango_TrueBoss · ItemPoolList_Bango_TrueBoss · True Boss)
  Char_Brute_PlotGrass2b_Boss_MotherbaseTRUE    Big Encore Bio-Bulkhead  (row KOTO_Motherbase_Brute_TrueBoss · ItemPoolList_KOTOMotherbaseBrute_TrueBoss · True Boss)
  Char_Thresher_BioArmoredBig_RunnableTRUE      Big Encore Bio-Thresher Omega  (row BioArmorThresher_TrueBoss · ItemPoolList_Thresher_BioArmoredBig_TrueBoss · True Boss)
  Char_Bat_Mine_Boss_DestroyerTRUE              Big Encore Bramblesong  (row Destroyer_TrueBoss · ItemPoolList_Destroyer_TrueBoss · True Boss)
  Char_Drone_Bunker_Boss_KeeperTRUE             Big Encore Core Observer  (row Drone_Keeper_TrueBoss · ItemPoolList_DroneKeeper_TrueBoss · True Boss)
  Char_Soldier_Bunker_Boss_RedGuardTRUE         Big Encore Directive-0  (row Red_Guard_TrueBoss · ItemPoolList_Redguard_TrueBoss · True Boss)
  Char_Leader_Bunker_Boss_CloningTRUE           Big Encore Divisioner  (row Cloning_Leader_TrueBoss · ItemPoolList_CloningLeader_TrueBoss · True Boss)
  Char_Meathead_PlotShat2a_Boss_DrillerholeTRUE  Big Encore Driller Hole  (row Drillerhole_TrueBoss · ItemPoolList_Drillerhole_TrueBoss · True Boss)
  Char_Leader_Bunker_Boss_HologramTRUE          Big Encore Fractis  (row Leader_Hologram_TrueBoss · ItemPoolList_LeaderHologram_TrueBoss · True Boss)
  Char_MeatHeadFrackingBossTRUE                 Big Encore Frank the Furnace  (row Foundry_Freaks_Meathead_TrueBoss · ItemPoolList_FoundryFreak_MeatheadFrackingBoss_TrueBoss · True Boss)
  Char_Soldier_Bunker_Boss_AncientTRUE          Big Encore Genone  (row Soldier_Ancient_TrueBoss · ItemPoolList_SoldierAncient_TrueBoss · True Boss)
  Char_Psycho_HovercartRiderTRUE                Big Encore Gruntabulous Vork  (row Hovercart_TrueBoss · ItemPoolList_Hovercart_TrueBoss · True Boss)
  Char_PsychoFrackingLieutenantTRUE             Big Encore Hank the Welder  (row Foundry_Freaks_Psycho_TrueBoss · ItemPoolList_FoundryFreak_Psycho_TrueBoss · True Boss)
