skill,vault_hunter,tree,branch,effect,image_url
Bullet Storm,Amon,Calamity,,"Whenever Amon applies a Status Effect, he gains increased Gun Damage for a Duration. This effect can stack.",https://img.game8.co/4265644/728dfe6457dc028d837dbac8537c6ac3.png/show
Discombobulate,Amon,Calamity,,Amon gains Melee Critical Hit Chance.,https://img.game8.co/4265638/4eef765cf02bfa458186fc6575a0f1d7.png/show
Forged In Steel,Amon,Calamity,,Amon becomes immune to all Damage for a brief Duration whenever he activates a Forgeskill.,https://img.game8.co/4265645/707ec043198739bc05df389d7f64dbb3.png/show
Gut Punch,Amon,Calamity,,"Melee Damage and Ordnance Damage have a chance to apply Weakness to enemies for a Duration. Weakened enemies deal reduced Damage, and take increased Damage. Weakness is affected by Status Effect Duration, and is itself considered a Status Effect.",https://img.game8.co/4265639/4f6c053d7f8dde612c372c199f27fdb3.png/show
Heavy Plate,Amon,Calamity,,Amon gains increased Maximum Shield Capacity and Maximum Overshield Capacity.,https://img.game8.co/4265642/645cdf64e516c7f1882dd51ee1b7bfca.png/show
Impetus,Amon,Calamity,,Kill Skill. Amon gains increased Shield Regeneration Rate and Movement Speed for a Duration. This effect can stack.,https://img.game8.co/4265648/84eed123474cc6a4f660c54e34069f7b.png/show
Metal Urge,Amon,Calamity,,"Whenever Amon deals Gun Damage, he gains increased Action Skill Cooldown Rate for a Duration. This effect can stack.",https://img.game8.co/4265641/c014c6f7173c88ecaa7b244f1eed6863.png/show
Pyroclast,Amon,Calamity,,"Whenever Onslaughter is activated, Amon fully Restores his Health and Shield, and is surrounded by a Forgestorm that deals Incendiary Status Effect Damage to nearby enemies over time. Kill Skill. Killing an enemy inside of the Forgestorm restores Amon's Action Skill Duration, and increases Forgestorm's Damage.",https://img.game8.co/4265636/a34513a12aae36e1d2dd1cdac4ff9707.png/show
The Best Defense,Amon,Calamity,,Amon gains Overshield whenever he deals Melee Damage.,https://img.game8.co/4265649/a3f5d08991e702b641ad8aaa8b6c198b.png/show
Thermal Diffusion,Amon,Calamity,,"Rocket Punch now has two modes, gains increased Radius, and deals Bonus Damage based on Amon's Maximum Shield Capacity. Pressing Action Skill causes Rocket Punch to deal Incendiary Melee Attack Damage. Pressing Melee causes Rocket Punch to deal Cryo Melee Attack Damage.",https://img.game8.co/4265643/1a3f575af9790a64e52c95d55e50ad21.png/show
Tritanium Knuckles,Amon,Calamity,,Amon gains increased Melee Damage and Skill Damage.,https://img.game8.co/4265637/5ff82767a25d7b141fb6f33d218bf7fc.png/show
What Burns Within,Amon,Calamity,,Amon gains increased Incendiary Damage.,https://img.game8.co/4265640/4b9e3ce11ea9fc899bcd39ff71ef774b.png/show
Wield the Storm,Amon,Calamity,,Amon gains increased Status Effect Damage and Status Effect Duration.,https://img.game8.co/4265647/d9e87cc1c46ccb0ca84b201144fe444b.png/show
Axe and Stone,Amon,Cybernetics,,"Amon gains increased Movement Speed for a Duration after damaging an enemy with a Forgeaxe, and can Detonate Primed enemies with a Melee Attack. Detonating a Flame Axe restores Action Skill Cooldown. Detonating a Cryo Axe restores Ordnance Cooldown.",https://img.game8.co/4265740/e9f49fc3430bfe338965a3d551e0db44.png/show
Bellows,Amon,Cybernetics,,"Whenever Amon Activates his Forgeskill, he gains increased Gun Damage for a Duration.",https://img.game8.co/4265743/9f1daa71cc6f5e47e356b49678d88e8d.png/show
